contract_number,payment_sequence,amount,due_date,payment_date,status,notes
F0733,10,1000.00,2024-10-20,2024-10-20,paid,
F0733,11,500.00,2024-11-25,2024-11-25,paid,
F0733,12,500.00,2024-12-25,2024-12-25,paid,
F0733,13,500.00,2025-01-20,2025-01-20,paid,
F0733,14,700.00,2025-02-20,2025-02-20,paid,
F0733,15,700.00,2025-03-20,2025-03-20,paid,
F0733,16,700.00,2025-04-20,2025-04-20,paid,
F0733,17,700.00,2025-05-20,2025-05-20,paid,
F0733,18,700.00,2025-06-20,2025-06-20,paid,
F0733,19,700.00,2025-07-20,2025-07-20,paid,
F0733,20,700.00,2025-08-20,2025-08-20,paid,
F0733,21,700.00,2025-09-25,2025-09-25,paid,
F0733,22,700.00,2025-10-20,2025-10-20,paid,
F0733,23,700.00,2025-11-26,2025-11-26,paid,
F0733,24,700.00,2025-12-20,2025-12-20,paid,
F0734,1,900.00,2024-01-20,2024-01-20,paid,
F0734,2,670.00,2024-02-20,2024-02-20,paid,
F0734,3,670.00,2024-03-20,2024-03-20,paid,
F0734,4,670.00,2024-04-20,2024-04-20,paid,
F0734,5,670.00,2024-05-20,2024-05-20,paid,
F0734,6,670.00,2024-06-20,2024-06-20,paid,
F0734,7,670.00,2024-07-20,2024-07-20,paid,
F0734,8,670.00,2024-08-21,2024-08-21,paid,
F0734,9,670.00,2024-09-30,2024-09-30,paid,
F0734,10,670.00,2024-10-21,2024-10-21,paid,
F0735,1,1500.00,2024-01-20,2024-01-20,paid,
F0735,2,760.00,2024-02-24,2024-02-24,paid,
F0735,3,750.00,2024-03-30,2024-03-30,paid,
F0735,4,760.00,2024-04-30,2024-04-30,paid,
F0735,5,760.00,2024-05-31,2024-05-31,paid,
F0735,6,760.00,2024-06-25,2024-06-25,paid,
F0735,7,760.00,2024-07-26,2024-07-26,paid,
F0735,8,760.00,2024-08-27,2024-08-27,paid,
F0735,9,770.00,2024-09-30,2024-09-30,paid,
F0736,1,1500.00,2024-01-26,2024-01-26,paid,
F0736,2,800.00,2024-03-06,2024-03-06,paid,
F0736,3,800.00,2024-04-19,2024-04-19,paid,
F0736,4,800.00,2024-05-09,2024-05-09,paid,
F0736,5,800.00,2024-06-08,2024-06-08,paid,
F0736,6,500.00,2024-09-30,2024-09-30,paid,
F0736,7,300.00,2024-09-30,2024-09-30,paid,
F0736,8,800.00,2024-10-30,2024-10-30,paid,
F0736,9,500.00,2024-11-30,2024-11-30,paid,
F0736,10,800.00,2024-12-27,2024-12-27,paid,
F0736,11,800.00,2025-01-30,2025-01-30,paid,
F0736,12,300.00,2025-02-28,2025-02-28,paid,
F0736,13,500.00,2025-03-31,2025-03-31,paid,
F0736,14,400.00,2025-05-04,2025-05-04,paid,
F0736,15,400.00,2025-06-30,2025-06-30,paid,
F0736,16,700.00,2025-08-31,2025-08-31,paid,
F0736,17,400.00,2025-12-26,2025-12-26,paid,
F0737,1,1000.00,2024-01-27,2024-01-27,paid,
F0737,2,400.00,2024-03-31,2024-03-31,paid,
F0737,3,390.00,2024-04-12,2024-04-12,paid,
F0737,4,790.00,2024-06-06,2024-06-06,paid,
F0737,5,790.00,2024-06-30,2024-06-30,paid,
F0737,6,300.00,2024-07-31,2024-07-31,paid,
F0737,7,490.00,2024-08-31,2024-08-31,paid,
F0738,1,1800.00,2024-01-27,2024-01-27,paid,
F0738,2,920.00,2024-03-23,2024-03-23,paid,
F0738,3,920.00,2024-04-25,2024-04-25,paid,
F0738,4,920.00,2024-06-05,2024-06-05,paid,
F0740,1,1000.00,2024-01-30,2024-01-30,paid,
F0740,2,790.00,2024-02-20,2024-02-20,paid,
F0740,3,790.00,2024-03-05,2024-03-05,paid,
F0740,4,790.00,2024-04-05,2024-04-05,paid,
F0740,5,790.00,2024-05-05,2024-05-05,paid,
F0740,6,790.00,2024-06-05,2024-06-05,paid,
F0740,7,790.00,2024-07-05,2024-07-05,paid,
F0740,8,790.00,2024-08-05,2024-08-05,paid,
F0740,9,790.00,2024-09-06,2024-09-06,paid,
F0740,10,790.00,2024-10-05,2024-10-05,paid,
F0740,11,790.00,2024-11-05,2024-11-05,paid,
F0740,12,790.00,2024-12-05,2024-12-05,paid,
F0740,13,790.00,2025-01-02,2025-01-02,paid,
F0740,14,790.00,2025-02-05,2025-02-05,paid,
F0740,15,790.00,2025-03-05,2025-03-05,paid,
F0740,16,790.00,2025-04-05,2025-04-05,paid,
F0741,1,1000.00,2024-01-31,2024-01-31,paid,
F0741,2,790.00,2024-03-15,2024-03-15,paid,
F0741,3,790.00,2024-05-31,2024-05-31,paid,
F0741,4,790.00,2024-06-20,2024-06-20,paid,
F0741,5,800.00,2024-07-18,2024-07-18,paid,
F0741,6,780.00,2024-08-31,2024-08-31,paid,
F0741,7,790.00,2024-09-30,2024-09-30,paid,
F0741,8,790.00,2024-10-26,2024-10-26,paid,
F0741,9,790.00,2024-12-16,2024-12-16,paid,
F0741,10,790.00,2025-01-31,2025-01-31,paid,
F0741,11,790.00,2025-02-28,2025-02-28,paid,
F0741,12,790.00,2025-03-30,2025-03-30,paid,
F0741,13,790.00,2025-04-30,2025-04-30,paid,
F0741,14,790.00,2025-05-28,2025-05-28,paid,
F0741,15,800.00,2025-06-30,2025-06-30,paid,
F0741,16,780.00,2025-08-03,2025-08-03,paid,
F0742,1,1500.00,2024-01-31,2024-01-31,paid,
F0742,2,760.00,2024-03-19,2024-03-19,paid,
F0742,3,760.00,2024-04-27,2024-04-27,paid,
F0742,4,760.00,2024-06-17,2024-06-17,paid,
F0742,5,760.00,2024-07-30,2024-07-30,paid,
